address,icon,lat,lon,name,offentlig_avtale,source_url
"Nøsthaugv. 5, 7820 Spillum",delete-alt,64.4542501535124,11.528856976808612,Vitusapotek Spillum,,https://www.felleskatalogen.no/medisin/apotek/Spillum/vitusapotek-spillum-spillum
"Wilsesv. 3, 1820 Spydeberg",delete-alt,59.61703544317805,11.074948023097843,Vitusapotek Spydeberg,,https://www.felleskatalogen.no/medisin/apotek/Spydeberg/vitusapotek-spydeberg-spydeberg
"Larviksv. 13 B, Postboks 85, 3291 Stavern",delete-alt,59.001111660965485,10.03586187713261,Vitusapotek Stavern,,https://www.felleskatalogen.no/medisin/apotek/Stavern/vitusapotek-stavern-stavern
"Sagvannv. 16, 4848 Arendal",delete-alt,58.464922353912456,8.71222052048493,Vitusapotek Stoa,,https://www.felleskatalogen.no/medisin/apotek/Arendal/vitusapotek-stoa-arendal
"Kornmagasing. 7, 3160 Stokke",delete-alt,59.22518901506082,10.303598086235846,Vitusapotek Stokke,,https://www.felleskatalogen.no/medisin/apotek/Stokke/vitusapotek-stokke-stokke
"Storo Storsenter, Vitaminv. 7-9, 0485 Oslo",delete-alt,59.9493738127923,10.777788846208965,Vitusapotek Storo,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-storo-storo
"Stovner Senter 3, 0985 Oslo",delete-alt,59.96524782062559,10.919683777635674,Vitusapotek Stovner,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-stovner-stovner
"Storgt. 18, Postboks 53, 6201 Stranda",delete-alt,62.30768109849286,6.944222001428906,Vitusapotek Stranda,,https://www.felleskatalogen.no/medisin/apotek/Stranda/vitusapotek-stranda-stranda
"Strandpromenaden 76, 2609 Lillehammer",delete-alt,61.11396937587213,10.456820331960516,Vitusapotek Strandtorget,,https://www.felleskatalogen.no/medisin/apotek/Lillehammer/vitusapotek-strandtorget-lillehammer
"Hestehoven 1, 3930 Porsgrunn",delete-alt,59.10993890803612,9.674099490516346,Vitusapotek Stridsklev,,https://www.felleskatalogen.no/medisin/apotek/Porsgrunn/vitusapotek-stridsklev-porsgrunn
"Setrev. 2, Postboks 216, 6783 Stryn",delete-alt,61.90274561069906,6.708404943317615,Vitusapotek Stryn,,https://www.felleskatalogen.no/medisin/apotek/Stryn/vitusapotek-stryn-stryn
"Støperiv. 5, 2010 Strømmen",delete-alt,59.947785640135876,11.009087071232264,Vitusapotek Strømmen Storsenter,,https://www.felleskatalogen.no/medisin/apotek/StroEmmen/vitusapotek-stroemmen-storsenter-stroemmen
"Nansetg. 6, 3256 Larvik",delete-alt,59.05390382887039,10.036495021263477,Vitusapotek Svanen - Larvik,,https://www.felleskatalogen.no/medisin/apotek/Larvik/vitusapotek-svanen-larvik-larvik
